4,3,4,3,1
5,4,5,4,1
6,5,6,5,1
7,6,8,6,2
8,7,9,7,2
10,8,10,8,1
11,9,12,9,2
12,10,13,10,2
13,11,14,11,2
14,12,16,12,3
15,13,17,13,3
16,14,18,14,3
18,15,20,15,3
19,16,21,16,3
20,17,22,17,3
21,18,24,18,4
22,19,25,19,4
23,20,26,20,4
24,21,28,21,5
26,22,29,22,4
27,23,30,23,4
28,24,32,24,5
29,25,33,25,5
30,26,34,26,5
31,27,36,27,6
32,28,37,28,6
34,29,38,29,5
35,30,40,30,6
36,31,41,31,6
37,32,42,32,6
38,33,44,33,7
39,34,45,34,7
40,35,46,35,7
42,36,48,36,7
43,37,49,37,7
44,38,50,38,7
45,39,52,39,8
46,40,53,40,8
47,41,54,41,8
48,42,56,42,9
49,43,57,43,9
51,44,59,44,9
52,45,60,45,9
53,46,61,46,9
54,47,63,47,10
55,48,64,48,10
56,49,65,49,10
57,50,67,50,11
59,51,68,51,10
60,52,69,52,10
61,53,71,53,11
62,54,72,54,11
63,55,73,55,11
64,56,75,56,12
65,57,76,57,12
67,58,77,58,11
68,59,79,59,12
69,60,80,60,12
70,61,81,61,12
71,62,83,62,13
72,63,84,63,13
73,64,85,64,13
75,65,87,65,13
76,66,88,66,13
77,67,89,67,13
78,68,91,68,14
79,69,92,69,14
80,70,93,70,14
81,71,95,71,15
83,72,96,72,14
84,73,97,73,14
85,74,99,74,15
86,75,100,75,15
87,76,101,76,15
88,77,103,77,16
89,78,104,78,16
90,79,105,79,16
92,80,107,80,16
93,81,108,81,16
94,82,109,82,16
95,83,111,83,17
96,84,112,84,17
97,85,114,85,18
98,86,115,86,18
100,87,116,87,17
101,88,118,88,18
102,89,119,89,18
103,90,120,90,18
104,91,122,91,19
105,92,123,92,19
106,93,124,93,19
108,94,126,94,19
109,95,127,95,19
110,96,128,96,19
111,97,130,97,20
112,98,131,98,20
113,99,132,99,20
114,100,134,100,21
116,101,135,101,20
117,102,136,102,20
118,103,138,103,21
119,104,139,104,21
120,105,140,105,21
121,106,142,106,22
122,107,143,107,22
124,108,144,108,21
125,109,146,109,22
126,110,147,110,22
127,111,148,111,22
128,112,150,112,23
129,113,151,113,23
130,114,152,114,23
132,115,154,115,23
133,116,155,116,23
134,117,156,117,23
135,118,158,118,24
136,119,159,119,24
137,120,160,120,24
138,121,162,121,25
139,122,163,122,25
141,123,164,123,24
142,124,166,124,25
143,125,167,125,25
144,126,169,126,26
145,127,170,127,26
146,128,171,128,26
147,129,173,129,27
149,130,174,130,26
150,131,175,131,26
151,132,177,132,27
152,133,178,133,27
153,134,179,134,27
154,135,181,135,28
155,136,182,136,28
157,137,183,137,27
158,138,185,138,28
159,139,186,139,28
160,140,187,140,28
161,141,189,141,29
162,142,190,142,29
163,143,191,143,29
165,144,193,144,29
166,145,194,145,29
167,146,195,146,29
168,147,197,147,30
